1,11,0.000000688
2,15,0.000000497
3,24,0.000000794
4,34,0.000000957
5,44,0.000001367
6,68,0.000001849
7,119,0.000002386
8,160,0.000003303
9,229,0.000004677
10,359,0.000006604
11,553,0.000009506
12,848,0.000013783
13,1242,0.000019358
14,1920,0.000028891
15,2922,0.000042428
16,4257,0.000062206
17,6733,0.00009429
18,10265,0.000142076
19,15184,0.00021145
20,23212,0.00031933
21,35180,0.000527531
22,54399,0.000733372
23,81708,0.001112813
24,122561,0.001799836
25,189547,0.002550861
26,285429,0.003887497
27,433672,0.006140085
28,661693,0.009107299
29,998273,0.013710311
30,1525214,0.021016795
31,2306931,0.03219322
32,3508534,0.048634652
33,5351940,0.07625676
34,8067746,0.11166775
35,12309881,0.16979069
36,18705685,0.25838682
37,28336072,0.38962957
38,43176239,0.6006358
39,65378277,0.901952
40,99491570,1.3752712
41,151182056,2.0871258
42,229081370,3.1700153
43,348989228,4.8346133
44,529126588,7.3129463
45,803609759,11.094947
46,1222382207,16.874369
47,1853535428,25.71267
48,2819248327,39.058525
49,4279506546,59.51384
50,6497541585,91.76502
51,9881561849,138.497
